heuristicName,maxTile,score
sumCells,256,2796
sumCells,256,2404
sumCells,128,1612
sumCells,256,3892
sumCells,512,5172
sumCells,512,6112
sumCells,256,2444
sumCells,256,2948
sumCells,256,3396
sumCells,512,5756
sumCells,512,5740
sumCells,128,1488
sumCells,256,3484
sumCells,256,2776
sumCells,256,3192
sumCells,256,2980
sumCells,128,1324
sumCells,128,1300
sumCells,256,3264
sumCells,256,2828
sumCells,256,2912
sumCells,256,2820
sumCells,256,2620
sumCells,128,1124
sumCells,256,3068
sumCells,256,2392
sumCells,256,3160
sumCells,256,3884
sumCells,256,3844
sumCells,256,3164
sumCells,256,3188
sumCells,256,2668
sumCells,256,3340
sumCells,256,3344
sumCells,256,2604
sumCells,128,1180
sumCells,128,1780
sumCells,256,2264
sumCells,256,2920
sumCells,128,2168
sumCells,256,3100
sumCells,256,3372
sumCells,128,1668
sumCells,256,3428
sumCells,256,3132
sumCells,256,3244
sumCells,128,1780
sumCells,256,3208
sumCells,256,3264
sumCells,128,1624
sumCells,256,3028
sumCells,64,604
sumCells,128,1132
sumCells,256,2768
sumCells,256,2888
sumCells,256,3116
sumCells,128,2080
sumCells,128,2072
sumCells,128,1468
sumCells,256,3176
sumCells,512,5468
sumCells,128,1028
sumCells,512,5672
sumCells,128,1828
sumCells,256,2976
sumCells,256,3756
sumCells,256,3112
sumCells,256,3052
sumCells,256,2944
sumCells,512,5084
sumCells,256,3016
sumCells,256,3128
sumCells,256,2004
sumCells,256,3712
sumCells,256,3240
sumCells,512,4360
sumCells,256,3192
sumCells,256,2424
sumCells,128,2432
sumCells,256,2672
sumCells,128,1716
sumCells,128,1268
sumCells,128,1492
sumCells,512,7028
sumCells,256,3040
sumCells,256,3052
sumCells,256,2892
sumCells,256,3216
sumCells,256,3656
sumCells,128,1520
sumCells,512,7092
sumCells,128,2440
sumCells,256,3108
sumCells,256,2580
sumCells,512,4868
sumCells,256,3176
sumCells,512,5308
sumCells,128,1496
sumCells,256,2812
sumCells,256,2972
largestLower,1024,12212
largestLower,1024,21436
largestLower,1024,17700
largestLower,1024,21876
largestLower,1024,19508
largestLower,1024,16980
largestLower,2048,29888
largestLower,1024,15544
largestLower,2048,30484
largestLower,1024,13424
largestLower,2048,32028
largestLower,2048,28272
largestLower,2048,32064
largestLower,1024,14228
largestLower,512,7908
largestLower,512,9860
largestLower,2048,36424
largestLower,2048,29304
largestLower,1024,15824
largestLower,1024,14752
largestLower,1024,17000
largestLower,2048,27640
largestLower,1024,18088
largestLower,1024,21900
largestLower,1024,13168
largestLower,1024,14980
largestLower,1024,16140
largestLower,2048,28024
largestLower,1024,21504
largestLower,1024,14232
largestLower,2048,24212
largestLower,2048,32932
largestLower,1024,18936
largestLower,1024,19508
largestLower,1024,14448
largestLower,1024,22192
largestLower,2048,25080
largestLower,1024,19244
largestLower,1024,19064
largestLower,2048,38836
largestLower,2048,35904
largestLower,1024,14668
largestLower,2048,27376
largestLower,1024,18052
largestLower,1024,21284
largestLower,2048,26088
largestLower,2048,24392
largestLower,2048,36420
largestLower,2048,38940
largestLower,1024,16840
largestLower,2048,27984
largestLower,1024,18256
largestLower,2048,37216
largestLower,1024,15000
largestLower,2048,36576
largestLower,2048,29204
largestLower,1024,14172
largestLower,1024,17072
largestLower,512,8560
largestLower,2048,28996
largestLower,2048,31264
largestLower,1024,20600
largestLower,2048,30332
largestLower,1024,18684
largestLower,1024,17240
largestLower,2048,32984
largestLower,1024,16228
largestLower,512,9944
largestLower,2048,38060
largestLower,1024,18664
largestLower,512,9936
largestLower,1024,13628
largestLower,512,9912
largestLower,1024,19528
largestLower,2048,27536
largestLower,2048,25916
largestLower,1024,16580
largestLower,1024,18044
largestLower,1024,17080
largestLower,1024,16952
largestLower,1024,21584
largestLower,1024,21572
largestLower,1024,16220
largestLower,1024,20412
largestLower,512,6836
largestLower,2048,36672
largestLower,2048,26920
largestLower,2048,36612
largestLower,2048,27140
largestLower,1024,20448
largestLower,2048,36516
largestLower,2048,25536
largestLower,1024,14808
largestLower,2048,36708
largestLower,1024,15752
largestLower,1024,18576
largestLower,1024,18012
largestLower,1024,17832
largestLower,2048,29320
largestLower,1024,18388
snake_4_by_4,2048,26856
snake_4_by_4,1024,12376
snake_4_by_4,2048,32252
snake_4_by_4,2048,34308
snake_4_by_4,4096,52084
snake_4_by_4,2048,26400
snake_4_by_4,4096,60812
snake_4_by_4,2048,32452
snake_4_by_4,2048,32344
snake_4_by_4,4096,58988
snake_4_by_4,1024,18344
snake_4_by_4,1024,16556
snake_4_by_4,1024,12024
snake_4_by_4,4096,60404
snake_4_by_4,2048,27176
snake_4_by_4,2048,27248
snake_4_by_4,4096,57936
snake_4_by_4,1024,16160
snake_4_by_4,2048,27556
snake_4_by_4,2048,32072
snake_4_by_4,1024,11620
snake_4_by_4,2048,34448
snake_4_by_4,2048,36168
snake_4_by_4,4096,71244
snake_4_by_4,2048,36232
snake_4_by_4,4096,60780
snake_4_by_4,2048,34836
snake_4_by_4,2048,26516
snake_4_by_4,2048,34428
snake_4_by_4,2048,36416
snake_4_by_4,4096,59672
snake_4_by_4,2048,35296
snake_4_by_4,2048,35740
snake_4_by_4,2048,34136
snake_4_by_4,4096,60540
snake_4_by_4,2048,37008
snake_4_by_4,2048,31884
snake_4_by_4,2048,30088
snake_4_by_4,2048,34168
snake_4_by_4,2048,34384
snake_4_by_4,2048,35804
snake_4_by_4,2048,35688
snake_4_by_4,1024,14292
snake_4_by_4,1024,16584
snake_4_by_4,2048,35052
snake_4_by_4,2048,36164
snake_4_by_4,2048,34360
snake_4_by_4,2048,36140
snake_4_by_4,512,6708
snake_4_by_4,2048,32552
snake_4_by_4,2048,27508
snake_4_by_4,4096,60628
snake_4_by_4,2048,34804
snake_4_by_4,2048,27520
snake_4_by_4,1024,16524
snake_4_by_4,2048,36064
snake_4_by_4,2048,35592
snake_4_by_4,2048,31372
snake_4_by_4,2048,27232
snake_4_by_4,4096,60220
snake_4_by_4,2048,27908
snake_4_by_4,1024,15984
snake_4_by_4,2048,34452
snake_4_by_4,2048,34516
snake_4_by_4,2048,20580
snake_4_by_4,1024,15456
snake_4_by_4,4096,51304
snake_4_by_4,2048,31124
snake_4_by_4,4096,59196
snake_4_by_4,2048,36076
snake_4_by_4,2048,27148
snake_4_by_4,2048,27104
snake_4_by_4,2048,35968
snake_4_by_4,4096,56172
snake_4_by_4,2048,34988
snake_4_by_4,2048,32856
snake_4_by_4,1024,14028
snake_4_by_4,512,10860
snake_4_by_4,2048,36120
snake_4_by_4,1024,15392
snake_4_by_4,4096,70416
snake_4_by_4,4096,59720
snake_4_by_4,2048,36212
snake_4_by_4,1024,12336
snake_4_by_4,2048,31456
snake_4_by_4,2048,21724
snake_4_by_4,2048,36080
snake_4_by_4,4096,60424
snake_4_by_4,2048,35184
snake_4_by_4,2048,27256
snake_4_by_4,2048,35912
snake_4_by_4,2048,34456
snake_4_by_4,2048,36112
snake_4_by_4,4096,51392
snake_4_by_4,1024,16488
snake_4_by_4,2048,27016
snake_4_by_4,2048,36224
snake_4_by_4,4096,56772
snake_4_by_4,2048,31680
snake_4_by_4,1024,16104
"topLeftCornerProximity_4_by_4",2048,34524
"topLeftCornerProximity_4_by_4",2048,27252
"topLeftCornerProximity_4_by_4",2048,27880
"topLeftCornerProximity_4_by_4",2048,34484
"topLeftCornerProximity_4_by_4",2048,31828
"topLeftCornerProximity_4_by_4",1024,14028
"topLeftCornerProximity_4_by_4",2048,35624
"topLeftCornerProximity_4_by_4",2048,24012
"topLeftCornerProximity_4_by_4",2048,34120
"topLeftCornerProximity_4_by_4",2048,34412
"topLeftCornerProximity_4_by_4",2048,31976
"topLeftCornerProximity_4_by_4",2048,26156
"topLeftCornerProximity_4_by_4",2048,27440
"topLeftCornerProximity_4_by_4",2048,30092
"topLeftCornerProximity_4_by_4",4096,62716
"topLeftCornerProximity_4_by_4",2048,34556
"topLeftCornerProximity_4_by_4",2048,28120
"topLeftCornerProximity_4_by_4",2048,35696
"topLeftCornerProximity_4_by_4",4096,58308
"topLeftCornerProximity_4_by_4",1024,16504
"topLeftCornerProximity_4_by_4",2048,36180
"topLeftCornerProximity_4_by_4",2048,36364
"topLeftCornerProximity_4_by_4",2048,35540
"topLeftCornerProximity_4_by_4",4096,47528
"topLeftCornerProximity_4_by_4",2048,32312
"topLeftCornerProximity_4_by_4",2048,27536
"topLeftCornerProximity_4_by_4",4096,51492
"topLeftCornerProximity_4_by_4",2048,22888
"topLeftCornerProximity_4_by_4",2048,27112
"topLeftCornerProximity_4_by_4",512,7164
"topLeftCornerProximity_4_by_4",4096,56428
"topLeftCornerProximity_4_by_4",256,3804
"topLeftCornerProximity_4_by_4",4096,67544
"topLeftCornerProximity_4_by_4",4096,58660
"topLeftCornerProximity_4_by_4",2048,23980
"topLeftCornerProximity_4_by_4",1024,16552
"topLeftCornerProximity_4_by_4",4096,60240
"topLeftCornerProximity_4_by_4",2048,37896
"topLeftCornerProximity_4_by_4",1024,17796
"topLeftCornerProximity_4_by_4",2048,29012
"topLeftCornerProximity_4_by_4",4096,60256
"topLeftCornerProximity_4_by_4",2048,32428
"topLeftCornerProximity_4_by_4",4096,68504
"topLeftCornerProximity_4_by_4",2048,36376
"topLeftCornerProximity_4_by_4",2048,31596
"topLeftCornerProximity_4_by_4",4096,70548
"topLeftCornerProximity_4_by_4",1024,17932
"topLeftCornerProximity_4_by_4",2048,32412
"topLeftCornerProximity_4_by_4",4096,46292
"topLeftCornerProximity_4_by_4",2048,33972
"topLeftCornerProximity_4_by_4",1024,11348
"topLeftCornerProximity_4_by_4",1024,15312
"topLeftCornerProximity_4_by_4",4096,61232
"topLeftCornerProximity_4_by_4",4096,72976
"topLeftCornerProximity_4_by_4",2048,23652
"topLeftCornerProximity_4_by_4",2048,34028
"topLeftCornerProximity_4_by_4",2048,27952
"topLeftCornerProximity_4_by_4",2048,27096
"topLeftCornerProximity_4_by_4",1024,12472
"topLeftCornerProximity_4_by_4",4096,58460
"topLeftCornerProximity_4_by_4",2048,36364
"topLeftCornerProximity_4_by_4",4096,52976
"topLeftCornerProximity_4_by_4",2048,35356
"topLeftCornerProximity_4_by_4",2048,32552
"topLeftCornerProximity_4_by_4",1024,16488
"topLeftCornerProximity_4_by_4",1024,15340
"topLeftCornerProximity_4_by_4",1024,16276
"topLeftCornerProximity_4_by_4",1024,16164
"topLeftCornerProximity_4_by_4",2048,32604
"topLeftCornerProximity_4_by_4",1024,16728
"topLeftCornerProximity_4_by_4",512,7576
"topLeftCornerProximity_4_by_4",2048,33044
"topLeftCornerProximity_4_by_4",2048,33632
"topLeftCornerProximity_4_by_4",2048,29256
"topLeftCornerProximity_4_by_4",4096,58760
"topLeftCornerProximity_4_by_4",2048,32888
"topLeftCornerProximity_4_by_4",2048,32004
"topLeftCornerProximity_4_by_4",4096,68032
"topLeftCornerProximity_4_by_4",4096,47404
"topLeftCornerProximity_4_by_4",1024,16176
"topLeftCornerProximity_4_by_4",1024,15380
"topLeftCornerProximity_4_by_4",4096,49976
"topLeftCornerProximity_4_by_4",4096,60532
"topLeftCornerProximity_4_by_4",2048,27708
"topLeftCornerProximity_4_by_4",2048,36276
"topLeftCornerProximity_4_by_4",2048,36820
"topLeftCornerProximity_4_by_4",2048,34764
"topLeftCornerProximity_4_by_4",2048,27636
"topLeftCornerProximity_4_by_4",2048,32500
"topLeftCornerProximity_4_by_4",2048,32304
"topLeftCornerProximity_4_by_4",2048,34920
"topLeftCornerProximity_4_by_4",2048,32636
"topLeftCornerProximity_4_by_4",1024,16348
"topLeftCornerProximity_4_by_4",2048,36936
"topLeftCornerProximity_4_by_4",2048,35864
"topLeftCornerProximity_4_by_4",1024,16048
"topLeftCornerProximity_4_by_4",1024,15904
"topLeftCornerProximity_4_by_4",4096,62528
"topLeftCornerProximity_4_by_4",2048,36176
"topLeftCornerProximity_4_by_4",2048,36356
